service_name,category,charging_unit,estimated_units,price_per_unit,materials_cost,complexity_level,urgency,contractor_experience_years,contractor_rating,distance_km,weekend,total_price
Instalação de tomada,Elétrica,fixo,1.0,220.0,15.37,baixa,baixa,1,4.56,9.7,0,244.88
Instalação de piso laminado,Pisos,hora,6.0,75.0,97.48,baixa,baixa,3,4.14,4.6,0,527.24
Dedetização,Dedetização,fixo,1.0,180.0,0.78,baixa,média,0,4.12,1.9,0,210.51
Limpeza pós-obra,Limpeza,hora,3.0,40.0,1.53,média,baixa,11,4.29,8.4,0,137.52
Instalação de ar-condicionado,Climatização,unidade,3.0,300.0,592.18,baixa,média,3,5.0,4.2,1,2241.06
Instalação de ar-condicionado,Climatização,hora,1.1,110.0,154.86,média,média,9,3.85,14.8,0,386.37
Instalação de piso laminado,Pisos,hora,2.2,75.0,45.52,baixa,baixa,8,4.05,0.3,0,207.55
Jardinagem básica,Jardinagem,hora,5.0,60.0,1.23,baixa,baixa,5,5.0,12.2,0,299.16
Instalação de tomada,Elétrica,unidade,16.0,100.0,239.02,baixa,baixa,9,5.0,9.6,0,1959.79
Pintura de parede,Pintura,m2,119.0,8.0,131.3,média,média,0,4.76,2.9,0,1464.26
Instalação de tomada,Elétrica,unidade,7.0,100.0,110.67,média,baixa,0,4.0,13.6,0,999.18
Montagem de móveis,Marcenaria,unidade,5.0,200.0,169.47,média,média,8,4.52,7.0,0,1689.06
Limpeza pós-obra,Limpeza,hora,1.7,40.0,0.87,baixa,baixa,10,5.0,1.4,0,70.63
Dedetização,Dedetização,unidade,3.0,60.0,2.27,baixa,baixa,7,4.08,10.2,0,193.48
Conserto de telhado,Telhados,m2,155.0,50.0,5097.69,baixa,baixa,0,4.81,8.5,0,12694.03
Dedetização,Dedetização,unidade,4.0,60.0,3.76,baixa,alta,3,3.65,3.3,1,423.58
Conserto de telhado,Telhados,m2,20.0,50.0,584.31,alta,baixa,8,4.98,9.5,1,3007.95
Instalação de ar-condicionado,Climatização,hora,2.3,110.0,460.76,baixa,alta,11,4.49,6.1,0,989.52
Instalação de piso laminado,Pisos,m2,26.0,45.0,487.12,média,baixa,11,4.25,7.9,0,2016.03
Montagem de móveis,Marcenaria,hora,2.6,85.0,56.67,baixa,baixa,7,4.32,9.3,0,255.21
Montagem de móveis,Marcenaria,unidade,9.0,200.0,234.52,média,baixa,5,4.39,12.9,0,2338.43
Instalação de piso laminado,Pisos,m2,143.0,45.0,2542.12,baixa,baixa,5,4.57,7.5,0,8890.44
Instalação de piso laminado,Pisos,hora,5.4,75.0,130.51,baixa,baixa,0,5.0,21.0,0,561.9
Montagem de móveis,Marcenaria,unidade,11.0,200.0,280.99,alta,alta,8,4.09,10.1,1,6274.51
Conserto de telhado,Telhados,m2,82.0,50.0,3173.05,baixa,baixa,4,4.59,19.6,0,7296.61
Montagem de móveis,Marcenaria,hora,7.0,85.0,174.23,alta,alta,8,3.92,4.8,0,1626.01
Limpeza pós-obra,Limpeza,hora,1.7,40.0,1.16,alta,média,7,3.17,10.9,0,123.72
Instalação de piso laminado,Pisos,m2,148.0,45.0,2739.31,baixa,baixa,13,4.6,4.2,0,9202.88
Limpeza pós-obra,Limpeza,m2,196.0,3.0,108.78,baixa,média,6,4.65,7.1,0,807.09
Conserto de torneira,Hidráulica,hora,3.0,80.0,73.21,média,baixa,6,4.45,13.5,0,372.44
Instalação de piso laminado,Pisos,hora,7.0,75.0,190.59,baixa,baixa,8,4.95,3.1,0,749.04
Instalação de tomada,Elétrica,hora,7.6,90.0,157.8,baixa,baixa,2,3.85,9.3,0,814.76
Conserto de torneira,Hidráulica,hora,8.0,80.0,144.89,baixa,média,5,4.21,5.2,0,862.46
Instalação de tomada,Elétrica,unidade,8.0,100.0,157.14,média,baixa,9,5.0,6.5,0,1113.94
Conserto de telhado,Telhados,m2,56.0,50.0,1589.94,baixa,média,5,4.57,9.7,0,5215.47
Conserto de torneira,Hidráulica,hora,6.6,80.0,145.41,alta,alta,4,5.0,11.8,0,1316.9
Pintura de parede,Pintura,hora,3.0,70.0,1.96,baixa,baixa,1,4.64,6.7,1,272.52
Instalação de ar-condicionado,Climatização,fixo,1.0,600.0,121.39,baixa,alta,5,4.77,5.3,0,1004.15
Montagem de móveis,Marcenaria,hora,3.7,85.0,121.24,baixa,baixa,2,4.14,12.3,0,437.35
Dedetização,Dedetização,m2,140.0,2.0,111.92,média,baixa,6,4.0,14.3,0,471.27
Instalação de piso laminado,Pisos,m2,149.0,45.0,3630.26,baixa,baixa,2,5.0,13.4,0,10085.6
Instalação de tomada,Elétrica,unidade,3.0,100.0,42.92,baixa,alta,3,4.5,4.7,0,460.58
Dedetização,Dedetização,m2,177.0,2.0,101.17,baixa,baixa,0,5.0,0.8,0,477.04
Montagem de móveis,Marcenaria,hora,2.1,85.0,72.93,baixa,baixa,6,4.47,10.1,0,232.52
Montagem de móveis,Marcenaria,unidade,5.0,200.0,139.17,baixa,média,3,4.74,3.6,0,1321.39
Instalação de tomada,Elétrica,fixo,1.0,220.0,12.47,baixa,baixa,15,5.0,16.2,0,240.18
Instalação de tomada,Elétrica,hora,7.8,90.0,129.84,baixa,baixa,10,4.09,5.3,0,776.3
Montagem de móveis,Marcenaria,unidade,5.0,200.0,113.83,média,baixa,5,4.0,5.8,0,1345.0
Instalação de tomada,Elétrica,unidade,1.0,100.0,15.98,baixa,média,4,4.3,9.6,0,145.35
Pintura de parede,Pintura,m2,133.0,8.0,112.93,média,baixa,1,4.51,6.0,0,1366.26
Montagem de móveis,Marcenaria,hora,1.6,85.0,34.26,alta,média,8,4.7,5.1,1,336.38
Instalação de ar-condicionado,Climatização,unidade,5.0,300.0,779.33,baixa,média,12,5.0,7.2,0,2572.4
Montagem de móveis,Marcenaria,hora,5.4,85.0,148.75,média,baixa,7,4.85,6.8,1,913.85
Instalação de tomada,Elétrica,unidade,12.0,100.0,185.92,média,média,3,5.0,12.1,0,1918.0
Pintura de parede,Pintura,m2,80.0,8.0,88.11,baixa,média,4,4.5,13.3,0,821.77
Conserto de torneira,Hidráulica,hora,1.2,80.0,30.93,média,média,3,4.22,13.7,0,185.34
Instalação de piso laminado,Pisos,hora,7.1,75.0,176.23,alta,média,3,4.84,11.3,0,1187.83
Limpeza pós-obra,Limpeza,m2,162.0,3.0,112.94,alta,baixa,0,3.79,4.0,0,940.17
Jardinagem básica,Jardinagem,m2,186.0,1.5,73.38,média,média,12,4.18,5.6,0,491.37
Montagem de móveis,Marcenaria,unidade,17.0,200.0,476.25,baixa,baixa,0,4.36,4.5,0,3830.0
Limpeza pós-obra,Limpeza,hora,1.4,40.0,0.96,baixa,média,4,4.89,8.6,0,66.21
Limpeza pós-obra,Limpeza,fixo,1.0,150.0,0.54,baixa,baixa,2,4.39,9.2,0,145.69
Montagem de móveis,Marcenaria,hora,4.9,85.0,113.64,média,média,13,4.6,8.5,0,734.01
Conserto de torneira,Hidráulica,unidade,6.0,120.0,102.06,baixa,alta,4,4.5,11.4,0,1148.51
